[2025-06-17 09:48:36 INF] HTTP GET /api/LogEntries/all responded 200 in 2.2922 ms
[2025-06-17 09:48:37 INF] HTTP GET /api/LogEntries/all responded 200 in 2.8469 ms
[2025-06-17 09:48:38 INF] HTTP GET /api/LogEntries/all responded 200 in 4.4399 ms
[2025-06-17 09:48:39 INF] HTTP GET /api/LogEntries/all responded 200 in 3.3736 ms
[2025-06-17 09:48:40 INF] HTTP GET /api/LogEntries/all responded 200 in 3.3042 ms
[2025-06-17 09:48:41 INF] HTTP GET /api/LogEntries/all responded 200 in 5.1236 ms
[2025-06-17 09:57:16 INF] HTTP GET /api/LogEntries/all responded 200 in 5.0301 ms
[2025-06-17 09:57:21 INF] HTTP GET /api/LogEntries/all responded 200 in 1.6186 ms
[2025-06-17 09:57:22 INF] HTTP GET /api/LogEntries/all responded 200 in 3.1652 ms
[2025-06-17 09:57:23 INF] HTTP GET /api/LogEntries/all responded 200 in 3.2198 ms
